match_id,event_idx,attacker_id,defender_id,duration_s,n_frames,tau_d,f_d,theta_d_deg,fit_error,d_start,d_end,d_mean,d_min,d_max
J03WPY,55,DFL-OBJ-002G5J,DFL-OBJ-002GG4,3.96,100,19.988803729035887,1.0168496029737202,-144.40444572584929,3.747651773037383,13.103457087669854,3.5110235415861775,8.197458441863297,3.5110235415861775,13.103457087669854
J03WPY,56,DFL-OBJ-J01KJ5,DFL-OBJ-002GG4,0.96,25,0.5815436076808954,14.073800953074585,77.83550395254514,0.11166104511063513,6.053257953050148,4.443583356042055,5.124572756175796,4.443583356042055,6.053257953050148
J03WPY,57,DFL-OBJ-0000F8,DFL-OBJ-002595,2.36,60,0.7008981696270544,9.339399011219252,32.09723596112155,0.29483944505492954,4.780876933752038,3.7339647252012407,4.771341042195199,3.7339647252012407,5.2509200865947685
J03WPY,58,DFL-OBJ-0028T3,DFL-OBJ-002G5J,1.92,49,10.168991962142908,0.9402593460745549,24.511545426024796,0.2588751515092638,1.3214361548059934,0.9794285279484496,1.0922583889276607,0.8492690620803869,1.3214361548059934
J03WPY,59,DFL-OBJ-002GMO,DFL-OBJ-0028BZ,1.0,26,1.6890943475882472,4.977506781861643,-56.604565060617844,0.2999956138906975,0.9685919829397657,3.5572290155362185,1.7267934915429883,0.7525394712243495,3.5572290155362185
J03WPY,60,DFL-OBJ-002GMO,DFL-OBJ-0028BZ,1.8800000000000001,48,20.0,2.368643247597761,-78.1890051557202,0.7732142958811477,9.968127221415484,0.9698997414966046,5.199451359725036,0.9698997414966046,9.968127221415484
J03WPY,61,DFL-OBJ-002595,DFL-OBJ-0000F8,2.2800000000000002,58,20.0,1.0955642581211629,100.83475155028185,0.9413988950411273,3.944253954771448,0.8392408230465375,1.9155590568451837,0.8392408230465375,3.944253954771448
J03WPY,62,DFL-OBJ-002FXT,DFL-OBJ-002G68,2.44,62,1.7123636286064994,4.171417577132775,68.50183682553212,2.1598864282660526,2.366915191891283,1.0866796341585803,1.3446904019903068,0.9305960657879963,2.366915191891283
J03WPY,63,DFL-OBJ-002GMO,DFL-OBJ-0028BZ,2.04,52,1.4927319923142814,4.547675460963594,27.62634723077321,0.4963149791309118,11.067595390255747,2.878680675693314,7.105622467094277,2.878680675693314,11.067595390255747
J03WPY,64,DFL-OBJ-0026RH,DFL-OBJ-0001LJ,1.76,45,0.23321146141429253,20.0,9.612282874496822,1.5565487248497314,4.46711522335411,2.721878561906393,3.08621760249948,2.721878561906393,4.46711522335411
J03WPY,65,DFL-OBJ-002GMO,DFL-OBJ-J0178P,2.24,57,0.14942705709334902,20.0,-86.25632201223283,0.5516508888215409,17.939724397183667,14.7678691044448,16.936010103928734,14.7678691044448,17.98397367871568
J03WPY,66,DFL-OBJ-0026RH,DFL-OBJ-0001LJ,2.12,54,0.2311258221952769,20.0,75.20162033412697,1.0026548028903899,1.3457294383397689,0.8403840789839745,0.9686727776245851,0.5455414211691346,1.3457294383397689
J03WPY,67,DFL-OBJ-002FXT,DFL-OBJ-002G68,4.36,110,20.0,0.48037033768262993,175.57739088737233,6.245113341843304,3.417736605336718,1.1584605856197487,3.1248972443574807,1.1584605856197487,3.8830497224972036
J03WPY,68,DFL-OBJ-002G68,DFL-OBJ-002FXT,3.4,86,0.4628907389214685,16.626490287047204,34.09171978342069,0.8345450868640328,2.7259723221134537,0.7001685683020322,2.2455547728934513,0.7001685683020322,3.0866840060201013
J03WPY,69,DFL-OBJ-002GM9,DFL-OBJ-0028BZ,1.8,46,6.1210822801258615,2.2541617944706456,-86.37161950455824,0.6113993617023091,12.413890240326618,9.920982421472766,10.291006676487937,9.536867514921449,12.413890240326618
J03WPY,70,DFL-OBJ-002G5J,DFL-OBJ-002G68,1.84,47,0.3080603479154265,20.0,-31.735067705501386,1.2087672938412253,4.537967792439967,0.5730215319541109,2.177147085656076,0.5060834914550145,4.537967792439967
J03WPY,71,DFL-OBJ-002G68,DFL-OBJ-002G5J,2.0,51,1.7720559942832013,5.451821545407577,17.431679545355653,0.7601531015432744,5.785222625674808,4.218529321329696,5.215542388222362,4.218529321329696,5.786699989609053
J03WPY,72,DFL-OBJ-0000NZ,DFL-OBJ-002595,2.12,54,0.4577965837931054,14.895312800568334,-49.789070738327055,0.2949085838911151,8.661670330633621,3.378632304641347,6.1353836451729205,3.378632304641347,8.661670330633621
